Students age,Gender,Relationship status,Department,Type of University,Father's education,Mother's education,Father's Occupation,Mother's Occupation,Family Income(monthly),Number of Siblings,Parental status,Previous School Location,Previous College Location,SSC result,HSC result,Scholarship in SSC,Scholarship in HSC,Accommodation,Weekly Study Time at home,Reading Scientific books/articles/journals,Reading Non-Scientific books/articles/journals,Attendance in class,Mid-Term Exam Preparation,Taking Exam Preparation,Taking Class Note,Any Co-curricular activity,Attend any Seminar related to department,Any part-time job,Smoking,Sports/ Exercise,Undergraduate 1st semester result (CGPA/GPA out of 4)
24-26 years,Female,In a love relationship,Edtech,Public,M.Sc/M.A.,M.Sc/M.A.,Private Job,Private Job,">60,000",2,Happily Married,Rural,Urban,GPA 5.00,GPA 5.00,Yes,Yes,University Hall,11-15 Hour,No,Yes,More than 80%class,Alone,Regular study during the semester,Always,Yes,Yes,Tution,No,Sometimes,3.75 - 4.00
21-23 years,Male,Single,Educational Technology ,Public,B.A./B.Sc./Hons/Degree,B.A./B.Sc./Hons/Degree,Govt. Service,Housewife,"56000-60,000",1,Happily Married,Urban,Country Town,GPA 5.00,GPA 5.00,Yes,No,University Hall,2-5 Hour,Yes,Yes,More than 80%class,Alone,Close date to exam,Sometimes,Yes,Yes,Others,No,Sometimes,3.50 - 3.74
21-23 years,Male,Single,Textile Engineering ,Public,Secondary School,Secondary School,Retired,Housewife,"26,000-40,000TK",2,Happily Married,Country Town,Country Town,GPA 5.00,GPA 4.00 - 4.99,No,No,With family,6-10Hour,No,No,More than 80%class,Alone,Close date to exam,Sometimes,No,No,Tution,No,Sometimes,3.25 - 3.49
24-26 years,Male,In a love relationship,Textile Engineering ,Public,B.A./B.Sc./Hons/Degree,College,Retired,Housewife,"26,000-40,000TK",1,Happily Married,Urban,Urban,GPA 5.00,GPA 5.00,Yes,No,University Hall,6-10Hour,Yes,Yes,More than 80%class,Not applicable,Close date to exam,Never,No,No,Not Applicable,No,Sometimes,3.00 - 3.24
21-23 years,Male,Single,EEE,Private,College,Secondary School,Govt. Service,Housewife,"26,000-40,000TK",2,Happily Married,Country Town,Country Town,GPA 5.00,GPA 5.00,Yes,No,Rental,2-5 Hour,Yes,Yes,More than 80%class,Group study,Close date to exam,Always,Yes,Yes,Not Applicable,No,Sometimes,3.75 - 4.00
21-23 years,Male,Single,Economics,Public,M.Sc/M.A.,College,Business,Housewife,"26,000-40,000TK",3 or above,Happily Married,Urban,Urban,GPA 5.00,GPA 5.00,Yes,No,Rental,Less than 1 Hour,Yes,Yes,60%-79% classes,Alone,Regular study during the semester,Always,Yes,Yes,Business,Yes,Sometimes,Less than 2.50
24-26 years,Male,Single,Mathematics ,Public,B.A./B.Sc./Hons/Degree,B.A./B.Sc./Hons/Degree,Private Job,Housewife,41000-55000TK,1,Happily Married,Urban,Country Town,GPA 5.00,GPA 5.00,Yes,No,With family,2-5 Hour,Yes,Yes,60%-79% classes,Group study,Close date to exam,Sometimes,No,No,Tution,Yes,Sometimes,3.75 - 4.00
21-23 years,Female,In a love relationship,History ,Public,B.A./B.Sc./Hons/Degree,B.A./B.Sc./Hons/Degree,Private Job,Govt. Service,">60,000",1,Happily Married,Urban,Urban,GPA 5.00,GPA 4.00 - 4.99,Yes,No,University Hall,11-14 Hour,Yes,Yes,More than 80%class,Alone,Regular study during the semester,Always,Yes,Yes,Not Applicable,No,Sometimes,3.75 - 4.00
Above 26,Male,Single,Management ,Public,B.A./B.Sc./Hons/Degree,Secondary School,Govt. Service,Housewife,"26,000-40,000TK",1,Died-one of them or both,Urban,Urban,GPA 5.00,GPA 5.00,No,No,Rental,11-14 Hour,Yes,Yes,More than 80%class,Alone,Regular study during the semester,Always,Yes,Yes,Tution,No,Sometimes,3.50 - 3.74
24-26 years,Male,Single,Mechanical Engineering ,Public,B.A./B.Sc./Hons/Degree,College,Business,Housewife,41000-55000TK,1,Happily Married,Urban,Urban,GPA 5.00,GPA 5.00,Yes,No,University Hall,2-5 Hour,Yes,No,More than 80%class,Group study,Regular study during the semester,Always,Yes,Yes,Not Applicable,No,Sometimes,3.25 - 3.49
21-23 years,Female,Single,ফুড এন্ড নিউট্রেশন ,Public,B.A./B.Sc./Hons/Degree,M.Sc/M.A.,Business,Govt. Service,41000-55000TK,1,Divorced,Urban,Urban,GPA 5.00,GPA 4.00 - 4.99,No,No,With family,6-10Hour,Yes,Yes,60%-79% classes,Group study,Close date to exam,Sometimes,Yes,Yes,Tution,No,Sometimes,3.50 - 3.74
24-26 years,Male,Single,textile,Private,B.A./B.Sc./Hons/Degree,M.Sc/M.A.,Self-employed,Housewife,"<25,000Tk",No Siblings,Happily Married,Country Town,Country Town,GPA 5.00,GPA 4.00 - 4.99,No,No,University Hall,Less than 1 Hour,No,No,More than 80%class,Alone,Close date to exam,Always,No,Yes,Business,Yes,Sometimes,3.75 - 4.00
24-26 years,Male,Single,Department of Physics ,Others,B.A./B.Sc./Hons/Degree,Primary School,Self-employed,Housewife,"<25,000Tk",1,Happily Married,Country Town,Country Town,GPA 5.00,GPA 4.00 - 4.99,No,No,University Hall,Less than 1 Hour,Yes,Yes,More than 80%class,Not applicable,Close date to exam,Sometimes,No,Yes,Business,Yes,Sometimes,2.75 - 2.99
24-26 years,Male,Single,Statistics ,Public,M.Sc/M.A.,College,Retired,Housewife,"<25,000Tk",1,Happily Married,Urban,Urban,GPA 5.00,GPA 4.00 - 4.99,No,No,With family,2-5 Hour,No,Yes,60%-79% classes,Alone,Close date to exam,Sometimes,No,No,Tution,Yes,Sometimes,3.00 - 3.24
